index	siteName	code	job	jobCode	lastName	firstName	category	lastNameHiragana	firstNameHiragana	categoryNumber	firstNameEnglish	lastNameEnglish	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	url	url	id		lastNameKatakana	firstNameKatakana				
	生命理工学系	024	教授	001	越川	直彦	か	こしかわ	なおひこ	3	Naohiko	Koshikawa	生命理工学系	024	ライフエンジニアリングコース	003	生命理工学系	024	生命理工学コース	024																					細胞外マトリックス	Extracellular matrices (ECMs)	メタロプロテアーゼ	Metalloproteinases	がん	Cancer	バイオマーカー	Biomarkers	http://koshikawalab.bio.titech.ac.jp/	http://koshikawalab.bio.titech.ac.jp/	key_rid=B000306273		ｺｼｶﾜ	ﾅｵﾋｺ																																																														
40	生命理工学系	024	教授	001	小畠	英理	か	こばたけ	えいり	3	Eiry	Kobatake	生命理工学系	024	生命理工学コース	024	生命理工学系	024	ライフエンジニアリングコース	003																					タンパク質工学	Protein engineering	細胞組織工学	Cellular and tissue engineering	バイオマテリアル	Biomaterials	バイオセンシング	Biosensing	http://www.neobio.bio.titech.ac.jp/ja/index.html	http://www.neobio.bio.titech.ac.jp/ja/english/index.html	key_rid=B000249938		ｺﾊﾞﾀｹ	ｴｲﾘ																																																														
42	生命理工学系	024	教授	001	駒田	雅之	か	こまだ	まさゆき	3	Masayuki	Komada	生命理工学系	024	生命理工学コース	024																									細胞	Cell	がん	Cancer	腫瘍	Tumor	疾患	Disease	http://www.komada-lab.bio.titech.ac.jp	http://www.komada-lab.bio.titech.ac.jp	key_rid=1000321786		ｺﾏﾀﾞ	ﾏｻﾕｷ																																																														
43	生命理工学系	024	教授	001	近藤	科江	か	こんどう	しなえ	3	Shinae	Kondoh	生命理工学系	024	ライフエンジニアリングコース	003	生命理工学系	024	生命理工学コース	024																					がんの生物学	Cancer biology	タンパク質工学	Protein engineering	光イメージング	Optical imaging	創薬研究	Drug development	http://www.kondohlab.bio.titech.ac.jp/	http://www.kondohlab.bio.titech.ac.jp/?lang=en	key_rid=1000287907		ｺﾝﾄﾞｳ	ｼﾅｴ																																																														
	生命理工学系	024	講師	003	近藤	徹	か	こんどう	とおる	3	Toru	Kondo	生命理工学系	024	生命理工学コース	024	生命理工学系	024	ライフエンジニアリングコース	003																					生物物理学	Biophysics	顕微分光学	Microspectroscopy	量子生物学	Quantum biology	生体光物理学	Biophotophysics					ｺﾝﾄﾞｳ	ﾄｵﾙ																																																														
44	生命理工学系	024	助教	004	坂野	大介	さ	さかの	だいすけ	4	Daisuke	Sakano	生命理工学系	024	生命理工学コース	024																									発生学	Embryology	細胞生物学	Cell biology 	分子生物学	Molecular biology			http://www.stem.bio.titech.ac.jp/		key_rid=B000227187		ｻｶﾉ	ﾀﾞｲｽｹ																																																														
45	生命理工学系	024	助教	004	坂本	聡	さ	さかもと	さとし	4	Satoshi	Sakamoto	生命理工学系	024	生命理工学コース	024																									ケミカルバイオロジー	Chemical biology	有機合成化学	Synthetic organic chemistry	生物有機化学	Bioorganic chemistry	バイオセンサ	Biosensor	http://yamaguchi.bio.titech.ac.jp/	http://yamaguchi.bio.titech.ac.jp/english/	key_rid=B000226792		ｻｶﾓﾄ	ｻﾄｼ																																																														
47	生命理工学系	024	助教	004	佐藤	浩平	さ	さとう	こうへい	4	Kohei	Sato	生命理工学系	024	生命理工学コース	024																									有機化学	Organic chemistry	超分子化学	Supramolecular chemistry	バイオマテリアル	Biomaterials chemistry	ナノテクノロジー	Nanotechnology	http://www.kinbara.bio.titech.ac.jp/jp/	http://www.kinbara.bio.titech.ac.jp	key_rid=B000300009		ｻﾄｳ	ｺｳﾍｲ																																																														
48	生命理工学系	024	助教	004	佐藤	孝雄	さ	さとう	たかお	4	Takao	Sato	生命理工学系	024	生命理工学コース	024																									構造生物学	Structure biology	合成生物学	Synthetic biology	計算化学	Computational chemistry	分子認識	Molecular recongunition			key_rid=1000279290		ｻﾄｳ	ﾀｶｵ																																																														
56	生命理工学系	024	助教	004	佐藤	優子	さ	さとう	ゆうこ	4	Yuko	Sato	生命理工学系	024	生命理工学コース	024																									エピジェネティクス	Epigenetics	ヒストン修飾	Histone modification	ライブイメージング	Live-imaging	モデル動物	Model animals	http://kimura-lab.bio.titech.ac.jp/index.html	http://kimura-lab.bio.titech.ac.jp/index.html	key_rid=B000353903		ｻﾄｳ	ﾕｳｺ																																																														
50	生命理工学系	024	助教	004	重田	雅之	さ	しげた	まさゆき	4	Masayuki 	Shigeta	生命理工学系	024	生命理工学コース	024																									有機化学	Organic chemistry	有機合成化学	Synthetic organic chemistry	天然物合成	Natural product synthesis	有機光化学 	Organic photochemistry 	http://www.urabe-lab.bio.titech.ac.jp	http://www.urabe-lab.bio.titech.ac.jp	key_rid=B000226882		ｼｹﾞﾀ	ﾏｻﾕｷ																																																														
51	生命理工学系	024	助教	004	嶋田	直彦	さ	しまだ	なおひこ	4	Naohiko	Shimada	生命理工学系	024	生命理工学コース	024																									生体高分子化学	Biopolymer materials	核酸化学	Nucleic acids chemistry					http://mlab.bio.titech.ac.jp/		key_t2r2Rid=CTT100654611		ｼﾏﾀﾞ	ﾅｵﾋｺ																																																														
52	生命理工学系	024	准教授	002	下嶋	美恵	さ	しもじま	みえ	4	Mie	Shimojima	生命理工学系	024	生命理工学コース	024																									植物生理学	Plant physiology	植物分子生物学	Plant molecular biology	植物生化学	Plant biochemistry			http://www.plantmorphogenesis.bio.titech.ac.jp/~official/	http://www.plantmorphogenesis.bio.titech.ac.jp/~official/	key_rid=6000021736		ｼﾓｼﾞﾏ	ﾐｴ																																																														
