index	siteName	code	job	jobCode	lastName	firstName	category	lastNameHiragana	firstNameHiragana	categoryNumber	firstNameEnglish	lastNameEnglish	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	url	url	id		lastNameKatakana	firstNameKatakana				
48	土木・環境工学系	026	教授	001	屋井	鉄雄	や	やい	てつお	5	Tetsuo	Yai	土木・環境工学系	026	都市・環境学コース	006	土木・環境工学系	026	土木工学コース	026																					国土/都市計画	Regional and urban planning	環境交通工学	Environmental transport engineering	計画理論	Planning theory			http://www.plan.cv.titech.ac.jp/yailab/	http://www.plan.cv.titech.ac.jp/yailab/index_e.html	key_rid=1000015550		ﾔｲ	ﾃﾂｵ						
49	建築学系	025	特任准教授	006	柳澤	潤	や	やなぎさわ	じゅん	5	Jun	Yanagisawa	建築学系	025	都市・環境学コース	006																									公共空間	Public space	公共施設	Public facilities	公共デザイン	Public design	ショッピングモール	Shopping mall			key_t2r2Rid=CTT100628615		ﾔﾅｷﾞｻﾜ	ｼﾞｭﾝ						
51	建築学系	025	教授	001	山中	浩明	や	やまなか	ひろあき	5	Hiroaki	Yamanaka	建築学系	025	都市・環境学コース	006	土木・環境工学系	026	都市・環境学コース	006																					強震動地震学	Strong motion seismology	地震工学	Earthquake engineering	物理探査学	Exploration geophysics	地震波動シミュレーション	Seismic wave simulation	http://www.yama.depe.titech.ac.jp/	http://www.yama.depe.titech.ac.jp/English.html	key_rid=1000181797		ﾔﾏﾅｶ	ﾋﾛｱｷ						
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
